x,y
400.0,-31.48551016239558
401.0,-25.137238504323335
402.0,-19.935498592703162
403.0,-15.606966176660006
404.0,-11.87831700531882
405.0,-8.476226827804544
406.0,-5.127371393242136
407.0,-1.5584972786773128
408.0,2.4839781112391766
409.0,7.207206997952794
410.0,12.811928934014208
411.0,19.577628227691466
412.0,27.969655716324677
413.0,38.48021787715
414.0,51.61538416610854
415.0,67.91394575769934
416.0,87.91722399369262
417.0,111.63749761773737
418.0,137.8730513133935
419.0,165.25536798703033
420.0,193.09296581235816
421.0,222.24795580408235
422.0,253.79780349124673
423.0,288.46110407110973
424.0,326.15576563274874
425.0,366.69003818410073
426.0,409.6249702335301
427.0,453.9852854907595
428.0,498.7273903814533
429.0,543.0981472841427
430.0,586.9405093073296
431.0,630.1659889504115
432.0,672.068335001985
433.0,710.7080325602815
434.0,744.0105768136613
435.0,771.1632777846783
436.0,793.7378126141056
437.0,813.5565623672106
438.0,831.0191702856414
439.0,843.9092542257524
440.0,849.7500577317702
441.0,847.7976521140588
442.0,840.3258298279358
443.0,829.8948193015993
444.0,817.9907464198195
445.0,804.374403004572
446.0,788.6477919441522
447.0,770.2371002436777
448.0,748.3008055165297
449.0,721.9933418239425
450.0,691.3311271257736
451.0,657.542568464445
452.0,621.9540217228472
453.0,586.1789805409114
454.0,552.213894412758
455.0,522.0389599234092
456.0,496.14895179869274
457.0,473.20779555544993
458.0,451.82802450573297
459.0,432.43409977525033
460.0,417.5150490531495
461.0,409.5622478905969
462.0,408.41505505795067
463.0,411.1907171613316
464.0,414.99514556544597
465.0,419.29720464989805
466.0,425.808574691884
467.0,436.17859585287437
468.0,449.397335223257
469.0,462.18125100332253
470.0,471.28119427257303
471.0,475.0581673037234
472.0,473.11266994644126
473.0,465.18474095092444
474.0,452.39524327271005
475.0,436.82142167794416
476.0,420.4931381898421
477.0,404.72870553434467
478.0,390.4151997731391
479.0,378.20040752340344
480.0,366.56057122287973
481.0,352.79092869937494
482.0,334.59166446014564
483.0,312.94876376169117
484.0,290.40547428837465
485.0,269.1697334643483
486.0,249.1339997507411
487.0,229.23715854058722
488.0,208.62679508532588
489.0,187.6676465719984
490.0,167.15866597509503
491.0,147.70580036960752
492.0,128.95935222441
493.0,110.27518699252938
494.0,91.11533283158607
495.0,71.37974220663624
496.0,51.081192550206495
497.0,30.410023085899518
498.0,10.18663811422867
499.0,-8.62870275041827
500.0,-24.854858488764275
501.0,-36.65436903143577
502.0,-42.071989129264196
503.0,-40.49415858438936
504.0,-34.65927821140205
505.0,-27.811839454470682
506.0,-21.888777958064676
507.0,-16.143586719230942
508.0,-9.497065740150036
509.0,-0.5935281894093527
510.0,12.404214838839533
511.0,31.343210108418365
512.0,56.15204293037337
513.0,83.98942367498836
514.0,111.82143568889414
515.0,137.37869833161662
516.0,159.30977470070053
517.0,176.3560976609695
518.0,188.1455763882634
519.0,195.1925963694381
520.0,198.06878838617777
521.0,197.6617966214031
522.0,195.12246616654028
523.0,191.65573602395978
524.0,189.03577718924052
525.0,189.4206866599365
526.0,194.55495452353546
527.0,202.12956550503924
528.0,207.57017646030644
529.0,207.0161265844518
530.0,202.06422133037302
531.0,196.75731868088346
532.0,194.67252121465796
533.0,196.6422704072021
534.0,202.51985702379898
535.0,212.12077270866018
536.0,225.09547548136183
537.0,241.04789424222537
538.0,259.3949949989017
539.0,278.9098144601024
540.0,298.22824827708547
541.0,316.7298680038523
542.0,335.76176336754827
543.0,356.9879911637026
544.0,381.29145774084594
545.0,407.90685352828217
546.0,435.8653012885846
547.0,464.5895955623787
548.0,494.1487973178384
549.0,524.6522097623773
550.0,555.4685044465344
551.0,585.0292110465081
552.0,611.74765159885
553.0,635.0025398403432
554.0,655.137981208004
555.0,672.4896062470816
556.0,686.6381873044634
557.0,696.5834053911683
558.0,701.4412639274387
559.0,701.731447967983
560.0,698.8243481869782
561.0,693.8690014524731
562.0,686.2905214925061
563.0,674.7413545812425
564.0,658.1774541536648
565.0,637.2160899970316
566.0,613.0336409017654
567.0,586.7538095198097
568.0,559.2879086168548
569.0,531.4941308058601
570.0,504.2074540383573
571.0,478.19586258719033
572.0,454.21516647579654
573.0,432.9910055147643
574.0,415.1835626571837
575.0,401.4264927764739
576.0,391.1652075936022
577.0,381.9364403720176
578.0,371.1608203404816
579.0,358.0029166713249
580.0,343.66705680388657
581.0,329.46049360475354
582.0,316.45420303410134
583.0,305.51179709202165
584.0,297.3649901005406
585.0,291.3114436796256
586.0,285.7318286108644
587.0,279.1504703712353
588.0,271.34194643500354
589.0,262.6733749109163
590.0,253.7313036206556
591.0,246.26988241589686
592.0,242.43619695874895
593.0,243.74138649867152
594.0,249.37044918978577
595.0,257.9796645589558
596.0,269.4489086381516
597.0,286.8036512278808
598.0,313.5525948999152
599.0,351.6756911725383
600.0,400.34193686997105
601.0,458.44156649420387
602.0,525.7657229334021
603.0,603.2758609342989
604.0,691.9050045858787
605.0,790.4471770449757
606.0,895.7184579973009
607.0,1004.1945449761338
608.0,1109.1827278026683
609.0,1201.9094712789924
610.0,1274.4850016295654
611.0,1325.8198673490804
612.0,1357.8725415015533
