x,y
400.0,84.50289184397265
401.0,53.02235393385309
402.0,28.28949692821163
403.0,9.590618067955337
404.0,-3.787985406008719
405.0,-12.560016252773472
406.0,-17.43917723143187
407.0,-19.138331215995247
408.0,-18.137082296834624
409.0,-14.364458210431495
410.0,-7.673440789122981
411.0,1.1502765620692563
412.0,9.119458747367718
413.0,12.935526940037368
414.0,11.011601216129781
415.0,5.801039391708204
416.0,0.336446072540752
417.0,-3.180358059164068
418.0,-4.453952206576969
419.0,-3.457054764818381
420.0,-0.5979966929421131
421.0,2.715290891157498
422.0,4.93905238204282
423.0,5.34071469429028
424.0,4.997560081941694
425.0,5.228010399332075
426.0,6.6489476191165275
427.0,8.355202931767014
428.0,9.250947119203609
429.0,9.698079847906504
430.0,13.134287225598577
431.0,23.366782201855116
432.0,41.446008341212064
433.0,62.91897233444564
434.0,82.69593401613886
435.0,97.73472446051322
436.0,108.96986268654227
437.0,117.79042142800701
438.0,125.35107795187722
439.0,132.3755204270635
440.0,139.54117792367907
441.0,147.5284459033693
442.0,157.02288580135493
443.0,168.6949737460295
444.0,182.1001321810341
445.0,194.953922212657
446.0,204.8219727822105
447.0,210.5360721573386
448.0,212.85595013726476
449.0,212.7123962103602
450.0,211.49516375048168
451.0,211.25665825998365
452.0,214.0549067987927
453.0,220.04761049826416
454.0,226.8580042923531
455.0,231.97318074619702
456.0,234.26726277615148
457.0,234.32395055142365
458.0,232.82426026185982
459.0,230.2102739560156
460.0,226.65182473563084
461.0,222.30460199976648
462.0,217.34037128529968
463.0,211.94739917488548
464.0,206.27227174946063
465.0,199.57152486415623
466.0,190.25689602919067
467.0,176.8044175582902
468.0,159.41082231602206
469.0,139.74399711204046
470.0,119.49031763378866
471.0,99.90393672274635
472.0,81.90628121768366
473.0,66.35838667383133
474.0,53.4564645246557
475.0,42.93625795947572
476.0,34.456088169017455
477.0,26.918654779046058
478.0,18.75624703956503
479.0,8.673687544776717
480.0,-2.02082059391149
481.0,-10.603213413007143
482.0,-14.736132011062473
483.0,-15.24269879403244
484.0,-14.443905080075158
485.0,-14.351180857494196
486.0,-14.835857779583362
487.0,-14.887920630185363
488.0,-13.758325036491968
489.0,-12.214471390444114
490.0,-11.564747809827177
491.0,-12.593424718090265
492.0,-13.49356392454471
493.0,-11.659867966759556
494.0,-5.186101392099665
495.0,4.951637353882494
496.0,17.03474263882238
497.0,29.671925986722847
498.0,42.63336327329532
499.0,55.94681884380152
500.0,69.75350410122749
501.0,84.5317229493936
502.0,100.82471212978925
503.0,120.15974035472314
504.0,146.52250486112294
505.0,184.27273857012932
506.0,237.23621026642198
507.0,308.14285623842824
508.0,399.55772854231253
509.0,511.4944940561401
510.0,639.5235800288989
511.0,778.7670464069956
512.0,924.2106540830158
513.0,1070.6433753546594
514.0,1212.8356474556351
515.0,1345.4532560291402
516.0,1463.0363362969872
517.0,1560.1504514469398
518.0,1632.11704642936
519.0,1675.0134479572075
520.0,1685.181831268239
521.0,1662.8841003157927
522.0,1611.646818573965
523.0,1535.0064643422504
524.0,1435.3913064070057
525.0,1314.482167077918
526.0,1174.4767123297036
527.0,1022.6861760473795
528.0,869.2795428433099
529.0,723.9976049609865
530.0,593.1858041308717
531.0,481.667775933824
532.0,393.3688578777708
533.0,327.0900305092711
534.0,279.80417335637895
535.0,248.63485781529715
536.0,231.39554120274306
537.0,226.0940621388414
538.0,230.37929356382816
539.0,240.66371914153186
540.0,253.09583567988219
541.0,265.12832737221913
542.0,277.7652826913478
543.0,292.60144401696675
544.0,309.8671894276192
545.0,326.9141084542258
546.0,340.7558429589568
547.0,350.34825253010524
548.0,357.85189564345524
549.0,365.68425798703214
550.0,374.6942794558021
